title,description,genre
armadillo,Dokument opowiada o losach duńskich żołnierzy wysłanych na misję do Afganistanu.,documentary
"the karate kid, part iii","Młody chłopak&nbsp;zostaje zmuszony do udziału w turnieju karate. Ponieważ nie może liczyć na pomoc swojego mistrza, wstępuje do konkurencyjnej szkoły walk.",family
toast," Nigel jest nietypowym 9-latkiem. Jego największym hobby jest gotowanie, zaś miejscem najprzyjemniejszego spędzania czasu jest kuchnia. Chłopiec w świecie garnków,... ",biography
kaze no tani no nausicaa,"Księżniczka Nausicaä stara się ocalić swoje plemię przed zagładą, jaką niesie trujący las.",fantasy
red dawn,Grupa nastolatków broni miasta przed inwazją żołnierzy z Korei Północnej.,action
taken 3,Były agent rządowy zostaje oskarżony o morderstwo. Ścigany przez służby musi dowieść niewinności i odnaleźć prawdziwych sprawców zbrodni.,thriller
deep water,"Zamożny mężczyzna, który pozwala żonie mieć romanse, aby uniknąć rozwodu, staje się głównym podejrzanym o zniknięcie jej kochanków.",thriller
bowling for columbine,"Co trzeci mieszkaniec Stanów Zjednoczonych posiada broń palną, która staje się przyczyną coraz to większej liczby zabójstw.",documentary
watership down,"Zaniepokojona wizją zbliżającego się niebezpieczeństwa grupa królików opuszcza stado i wyrusza w niebezpieczną podróż, aby znaleźć spokojne miejsce do życia.",animation
nosferatu: phantom der nacht,Jonathan otrzymuje od hrabiego Draculi list z prośbą o rychły przyjazd do Transylwanii. Tymczasem jego żona ma złe przeczucia. ,horror
look whos talking too,"James i Mollie oczekują narodzin córeczki. Nie podoba się to ich synowi, Mikeyowi, który pragnie pozostać w centrum uwagi. ",family
conviction,"Brat Betty zostaje skazany za napad i morderstwo. Kobieta kosztem wielu wyrzeczeń podejmuje studia prawnicze, by móc doprowadzić do jego uniewinnienia.",biography
speed 2: cruise control,"Annie wraz z narzeczonym wyrusza w rejs luksusowym statkiem pasażerskim. Na pokładzie znajduje się też psychopata Geiger, który przejmuje kontrolę nad maszyną. ",thriller
the adventures of sharkboy and lavagirl 3-d,"Max często ucieka w świat marzeń, które wkrótce stają się realne.",family
isle of dogs,"Japonia, niedaleka przyszłość. Decyzją władz wszystkie psy w mieście zostają wygnane na pobliskie wysypisko śmieci. Nastoletni chłopiec udaje się tam, by odnaleźć swojego pupila. ",animation
avengers: age of ultron,"Światu zagraża robot Ultron, który pragnie przejąć władzę. Superbohaterowie postanawiają temu zapobiec, stawiając czoło groźnemu najeźdźcy. ",action
north country,Zatrudnione w kopalni kobiety są molestowane przez męską załogę. Josey kieruje sprawę do sądu. ,drama
dirty deeds,"Zach decyduje się wykonać dziesięć zadań, dzięki którym zyska sławę w szkole.",comedy
maze runner: the scorch trials,Po ucieczce z labiryntu Thomasa oraz resztę Streferów czeka nowe wyzwanie. Muszą oni w ciągu dwóch tygodni przejść przez najbardziej zniszczoną część Ziemi. ,thriller
yellow submarine, Podwodną krainę Pepperland atakują nienawidzące muzyki Sine Smutasy. Z pomocą przybywają członkowie zespołu The Beatles.,animation
plan 9 from outer space,"Kosmici wskrzeszają zmarłych, aby pozbawili życia wszystkich ludzi na ziemi.",horror
