title,description,genre
transcendence,Pracujący nad stworzeniem sztucznej inteligencji naukowiec zostaje postrzelony przez przeciwników. Zdesperowana żona podejmuje próbę przeniesienia jego umysłu z umierającego ciała do komputera.,drama
camp rock,"Młoda dziewczyna spędzająca wakacje na obozie muzycznym postanawia kłamać w sprawie pracy swojej matki, aby zaprzyjaźnić się z bogatymi koleżankami. ",family
le samourai,"Gdy kolejne zlecenie nie przebiega po myśli płatnego zabójcy, rozpoczyna się policyjna nagonka. ",crime
the lincoln lawyer,Ceniony prawnik angażuje się w sprawę pobicia prostytutki. ,crime
good," Niemcy, lata 30. XX wieku. Profesor akademicki John Halder (Viggo Mortensen) jest uczciwym i porządnym człowiekiem. Jego życie to nie bajka. Opiekuje się neurotyczną... ",drama
the polar express,Chłopiec powątpiewający w magię Świąt Bożego Narodzenia zostaje pasażerem pociągu zmierzającego na biegun północny do siedziby św. Mikołaja.,animation
"greystoke: the legend of tarzan, lord of the apes",Para angielskich podróżników umiera w środku afrykańskiej dżungli. Ich nowo narodzone dziecko biorą pod opiekę małpy.,drama
dead man down,"Żądna zemsty kobieta uwodzi Victora, będącego prawą ręką nieuchwytnego, nowojorskiego kryminalisty.",thriller
the time travelers wife,Henry cierpi na nietypową chorobę genetyczną powodującą nieoczekiwane podróże w czasie. Podczas jednego z takich epizodów mężczyzna poznaje miłość swojego życia.,fantasy
friday the 13th: the final chapter,"Jason wciąż żyje. Po przebudzeniu się w kostnicy zabija koronera i pielęgniarkę, a następnie wraca nad jezioro.",horror
the lord of the rings: the two towers,"Drużyna Pierścienia zostaje rozbita, lecz zdesperowany Frodo za wszelką cenę chce wypełnić powierzone mu zadanie. Aragorn z towarzyszami przygotowuje się, by odeprzeć atak hord Sarumana.",fantasy
the baytown outlaws,Braci Oodie otrzymują zlecenie odzyskania syna klientki.,action
maximum overdrive,"Niecodzienne zjawisko kosmiczne sprawia, że maszyny stają się niebezpieczne dla ludzi. ",horror
a metamorfose dos passaros,"Opowieść będąca wędrówką przez losy trzech pokoleń, w centrum której znajduje się figura matki zapewniającej korzenie, ale i gałęzie, od których można się odbić, by odfrunąć.",documentary
superman,"Planeta Krypton ulega zniszczeniu. Tuż przed tym jedno z dzieci zostaje wysłane na Ziemię, gdzie staje się Supermanem.",action
kill command,"Oddział żołnierzy przybywa do placówki treningowej odbyć symulację pola walki z obdarzonymi sztuczną inteligencją robotami. Wkrótce orientują się, że wpadli w pułapkę.",horror
southpaw,Pomimo przeciwności losu bokser stara się powrócić na szczyt i odzyskać dobre imię. ,drama
tampopo,"Kierowca ciężarówki zatrzymuje się w małym, rodzinnym barze makaronowym i decyduje się pomóc jego właścicielom.",comedy
alex cross,Detektyw zajmujący się tropieniem seryjnych morderców otrzymuje makabryczną wiadomość od jednego z nich. ,crime
weekend,Russel poznaje Glena w klubie dla gejów. Spotkanie zmienia jego dotychczasowe życie.,drama
lekcja milosci,"Niespełna 70- letnia Jola, po rozwodzie z porywczym mężem, postanawia wreszcie żyć pełnią życia. ",documentary
breach,"Młody agent FBI zostaje przydzielony do inwigilacji Roberta Hanssena, weterana biura, podejrzanego o działalność szpiegowską.",crime
john doe: vigilante,John Doe oczekuje na wyrok. Dowodami są zapiski wideo.,crime
nan fang che zhan de ju hui,"Zhou przypadkowo zastrzelił policjanta podczas nocnej eskapady. List gończy oraz wysoka nagroda za odnalezienie go sprawia, że w sprawę zaangażowana jest jego cała rodzina oraz tajemnicza kobieta, którą spotyka na stacji.",crime
within the whirlwind," Jest rok 1937. Eugenia Ginzburg, ideowa komunistka, wykłada literaturę rosyjską na uniwersytecie w Kazaniu. Jej mąż jest członkiem lokalnego komitetu WKP(b). Rodzina... ",biography
woodstock,"Dokument opowiadający o legendarnym festiwalu Woodstock, który odbył się w 1969 roku.&nbsp;",documentary
the brass teapot,"Para odkrywa, że niedawno znaleziony mosiężny czajnik ma magiczne moce - dostarcza pieniędzy za każdym razem, gdy któremuś z małżonków stanie się krzywda.",fantasy
killers kiss,"Bokser, Davy Gordon, zakochuje się w tancerce mieszkającej po sąsiedzku. Wkrótce wychodzi na jaw, że kobieta jest dziewczyną gangstera.",crime
flightplan,Podczas lotu samolotem córka Kyle Pratt znika bez śladu. ,thriller
the war of the roses,"Barbara i Oliver chcą się rozwieść, jednak każde z nich pragnie zatrzymać dla siebie luksusową posiadłość, którą zamieszkują. Walcząc o dom, małżonkowie nie przebierają w środkach.",comedy
his house,Para młodych uchodźców próbuje od nowa ułożyć sobie życie w&nbsp;Anglii. Ich wysiłki niweczy jednak upiorna siła związana z&nbsp;horrorem wojny w&nbsp;ich ojczystym Sudanie Południowym.,horror
species,"Naukowcy tworzą kombinację ludzkiego i pozaziemskiego DNA. Sil, będąc efektem tego eksperymentu, ucieka z laboratorium. ",thriller
before the flood,Dokument o wpływie zmian klimatycznych na środowisko.,documentary
pandorum,"Dwóch astronautów budzi się z hibernacji na opuszczonym statku kosmicznym. Nie wiedzą, kim są, ani co jest celem ich podróży.",horror
oceans,"Dokument ukazuje piękno życia w oceanach, oraz zwraca uwagę na zagrażające Ziemi niebezpieczeństwa.",documentary
knights of badassdom,Grupa przyjaciół pasjonująca się grami typu&nbsp;LARP nieświadomie przywołuje demona z piekieł.,fantasy
nasza klatwa,"Historia reżysera i jego żony, którzy mierzą się z poważną chorobą swojego dziecka.",documentary
grace of monaco,"Ikona kina poślubia księcia&nbsp;Rainiera III i porzuca karierę, by pełnić obowiązki księżnej Monako.",biography
egymasra nezve, Dwa lata po zakończeniu rewolucji 1956 roku na Węgrzech jej echa jeszcze nie przebrzmiały. Jednak wolność słowa i wolność jednostki to nadal tylko puste słowa. W tym... ,biography
riding in cars with boys,Nastoletnia Beverly zachodzi w nieplanowaną ciążę i wychodzi za mąż. Nie porzuca jednak swojego marzenia o karierze pisarki.,biography
21 grams,"Tragiczny wypadek sprawia, że losy trzech rodzin, nie mających pozornie ze sobą nic wspólnego, łączą się.",crime
the mitchells vs. the machines,"Życie pewnej nietypowej rodziny staje na głowie, gdy wszyscy trafiają w sam środek apokalipsy robotów i niefortunnym trafem stają się ostatnią nadzieją ludzkości.",animation
legion,"Bóg postanawia zniszczyć ludzką rasę. Archanioł Michał odkrywa, że młoda, ciężarna kobieta nosi w sobie mesjasza, który może ocalić świat.",fantasy
shanghai knights,"Dwaj przyjaciele próbują zapobiec spiskowi uśmiercenia rodziny królewskiej, przy okazji dokonując prywatnej zemsty na mordercach ojca Chona. ",comedy
midnight in paris,"Inez i Gil przyjeżdżają do Paryża, by zaplanować ślub. Czas spędzają jednak osobno – Inez widuje się z byłym chłopakiem, a Gil odbywa podróże do lat 20.",fantasy
date night,Podczas kolacji na mieście znudzona para małżeńska zostaje&nbsp;wplątana&nbsp;w aferę kryminalną.&nbsp;,comedy
escobar: paradise lost,"Młody surfer wyjeżdża wraz z bratem do Kolumbii, gdzie zakochuje się w pięknej Marii. Wkrótce poznaje jej wuja Pablo Escobara, handlarza kokainy.",thriller
captain america: the first avenger,Młody Amerykanin bierze udział w&nbsp;tajnym&nbsp;wojskowym eksperymencie i jako superbohater staje do walki z nazistami.,action
the light between oceans,"Żyjący u wybrzeży zachodniej Australii latarnik i jego żona wychowują dziecko, które uratowali z dryfującej łodzi. Wkrótce spotykają jego matkę. ",drama
drunk parents,"Spłukani rodzice, po wysłaniu córki na studia, próbują ukryć stan finansów przed sąsiadami. Genialny plan wynajęcia domu nieobecnych sąsiadów nie idzie jednak tak jak powinien. ",comedy
sucker punch,Lata 50. Baby Doll zostaje zamknięta w zakładzie psychiatrycznym przez ojca. Podczas pobytu pacjentka tworzy alternatywny świat we własnej głowie.,fantasy
tylko nie mow nikomu,"Dziennikarz śledczy rozmawia z dziewięcioma księżmi katolickimi, którzy dopuścili się zbrodni pedofilii i molestowania nieletnich, a także ich ofiarami.",documentary
mary poppins returns,"Niania powraca, gdy w rodzinie Banksów znowu pojawiają się kłopoty. ",family
thor: love and thunder,nr 1 (polskie napisy),fantasy
the perverts guide to ideology,Slavoj Žižek opowiada w charakterystyczny dla siebie sposób o ideologiach kształtujących naszą rzeczywistość. Jego wypowiedzi ilustrują fragmenty z klasyków kina. ,documentary
serpico,Historia Franka Serpico podejmującego samotną walkę z korupcją w szeregach nowojorskiej policji. ,biography
smokin aces,"Gdy artysta z Las Vegas postanawia zeznawać przeciwko mafii, pojawia się wielu wrogów, którzy gotowi są go uciszyć.",action
koe no katachi,"Shouya Ishida w szkole podstawowej dokucza niesłyszącej dziewczynie. Po latach, kiedy sam doświadcza odtrącenia przez rówieśników z powodu swojego dawnego zachowania, postanawia wszystko naprawić.",drama
kung fu panda 2,"Panda Po wreszcie został mistrzem sztuk walki. Ale zbliża się groźny wojownik, który planuje podbić Chiny i zniszczyć sztukę kung-fu.",animation
king kong,"Lata 30. XX wieku. Bankrutujący reżyser i głodująca aktorka wyruszają na tajemniczą Wyspę Czaszki, by nagrać film swojego życia, ponieważ w Nowym Jorku panuje wielki kryzys. ",fantasy
home alone,Przez świąteczny pośpiech ośmioletni Kevin zostaje sam w domu na Boże Narodzenie.,family
transporter 3,Transporter Frank dostaje kolejne zadanie; musi przewieźć córkę urzędnika z Marsylii do Odessy. ,action
the disappeared,"Brat zaginionego chłopca próbuje wrócić do normalnego życia, jednak przeszłość nie daje mu spokoju. ",horror
the woman in the window,Cierpiąca na agorafobię kobieta zaczyna szpiegować swoich nowych sąsiadów i staje się świadkiem aktu przemocy.,crime
murder on the orient express,W luksusowym pociągu ginie wpływowy biznesmen. Hercules Poirot podejmuje się rozwiązania zagadki i wskazania mordercy spośród trzynastu współpasażerów.,crime
psy 3. w imie zasad,"Po 25 latach odsiadki Franz Maurer wkracza w nową Polskę, gdzie nic nie jest takie, jak zapamiętał. Wkrótce ponownie spotyka Nowego.",thriller
"flickan som lekte med elden, millennium part 2","Gdy Lisbeth Salander zostaje podejrzana o zamordowanie dwójki dziennikarzy śledczych prowadzących sprawę handlu kobietami,&nbsp;Mikael Blomkvist postanawia udowodnić jej niewinność.",crime
the naked gun 212: the smell of fear,"Frank Drebin próbuje powstrzymać szalonego potentata energetycznego, który planuje katastrofę ekologiczną.",comedy
ang babaeng humayo,Po trzydziestu latach spędzonych w więzieniu kobieta zostaje uniewinniona. Decyduje się zemścić na byłym kochanku. ,drama
eliza graves,"Do Stonehearst, zakładu dla obłąkanych, przybywa młody absolwent medycyny - Edward Newgate. Eliza Graves jest tam jedną z pacjentek.",thriller
la solitudine dei numeri primi," Adaptacja książki Paolo Giordano pt. ""Samotność liczb pierwszych"", jej bohaterami są Alice i Mattia, których losy śledzimy na przestrzeni wielu lat. 7-letnia Alice... ",drama
security,"Były komandos dostaje posadę ochroniarza w lokalnym centrum handlowym, gdzie niespodziewanie podejmuje się obrony jedenastolatki, której grozi niebezpieczeństwo. ",action
